DATE,layoff
12/1/2000,2018
1/1/2001,2220
2/1/2001,1855
3/1/2001,2133
4/1/2001,1883
5/1/2001,2029
6/1/2001,2015
7/1/2001,2038
8/1/2001,2011
9/1/2001,2107
10/1/2001,2319
11/1/2001,2255
12/1/2001,1922
1/1/2002,1907
2/1/2002,1978
3/1/2002,1883
4/1/2002,1956
5/1/2002,1967
6/1/2002,2015
7/1/2002,2102
8/1/2002,1923
9/1/2002,2022
10/1/2002,1935
11/1/2002,1944
12/1/2002,2007
1/1/2003,2109
2/1/2003,2015
3/1/2003,1949
4/1/2003,1998
5/1/2003,2072
6/1/2003,2076
7/1/2003,2062
8/1/2003,2162
9/1/2003,1932
10/1/2003,1969
11/1/2003,1951
12/1/2003,2007
1/1/2004,2037
2/1/2004,1985
3/1/2004,2065
4/1/2004,2010
5/1/2004,1914
6/1/2004,1887
7/1/2004,1885
8/1/2004,1974
9/1/2004,2027
10/1/2004,1903
11/1/2004,2037
12/1/2004,1951
1/1/2005,2008
2/1/2005,2068
3/1/2005,2188
4/1/2005,1957
5/1/2005,2021
6/1/2005,2015
7/1/2005,1898
8/1/2005,1905
9/1/2005,2032
10/1/2005,1873
11/1/2005,1769
12/1/2005,1923
1/1/2006,1784
2/1/2006,1882
3/1/2006,1888
4/1/2006,1853
5/1/2006,1991
6/1/2006,1817
7/1/2006,1860
8/1/2006,1775
9/1/2006,1831
10/1/2006,1898
11/1/2006,1926
12/1/2006,1772
1/1/2007,1922
2/1/2007,1850
3/1/2007,1882
4/1/2007,2000
5/1/2007,1967
6/1/2007,1845
7/1/2007,1896
8/1/2007,2033
9/1/2007,2188
10/1/2007,1998
11/1/2007,1966
12/1/2007,1915
1/1/2008,1989
2/1/2008,1995
3/1/2008,1918
4/1/2008,1958
5/1/2008,1950
6/1/2008,2172
7/1/2008,2071
8/1/2008,2190
9/1/2008,2088
10/1/2008,2250
11/1/2008,2290
12/1/2008,2482
1/1/2009,2581
2/1/2009,2599
3/1/2009,2575
4/1/2009,2654
5/1/2009,2231
6/1/2009,2261
7/1/2009,2267
8/1/2009,2119
9/1/2009,2195
10/1/2009,2028
11/1/2009,1913
12/1/2009,2033
1/1/2010,1880
2/1/2010,1825
3/1/2010,1924
4/1/2010,1749
5/1/2010,1762
6/1/2010,2075
7/1/2010,2166
8/1/2010,1890
9/1/2010,1832
10/1/2010,1745
11/1/2010,1849
12/1/2010,1854
1/1/2011,1827
2/1/2011,1755
3/1/2011,1794
4/1/2011,1792
5/1/2011,1904
6/1/2011,1942
7/1/2011,1845
8/1/2011,1845
9/1/2011,1872
10/1/2011,1794
11/1/2011,1912
12/1/2011,1801
1/1/2012,1797
2/1/2012,1903
3/1/2012,1784
4/1/2012,1880
5/1/2012,1969
6/1/2012,1892
7/1/2012,1722
8/1/2012,1894
9/1/2012,1805
10/1/2012,1891
11/1/2012,1921
12/1/2012,1700
1/1/2013,1678
2/1/2013,1664
3/1/2013,1787
4/1/2013,1793
5/1/2013,1836
6/1/2013,1761
7/1/2013,1713
8/1/2013,1816
9/1/2013,1892
10/1/2013,1675
11/1/2013,1630
12/1/2013,1770
1/1/2014,1806
2/1/2014,1767
3/1/2014,1703
4/1/2014,1764
5/1/2014,1710
6/1/2014,1761
7/1/2014,1781
8/1/2014,1699
9/1/2014,1718
10/1/2014,1835
11/1/2014,1726
12/1/2014,1857
1/1/2015,1789
2/1/2015,1757
3/1/2015,1973
4/1/2015,1856
5/1/2015,1711
6/1/2015,1821
7/1/2015,1703
8/1/2015,1773
9/1/2015,1964
10/1/2015,1845
11/1/2015,1779
12/1/2015,1803
1/1/2016,1805
2/1/2016,1894
3/1/2016,1850
4/1/2016,1771
5/1/2016,1825
6/1/2016,1750
7/1/2016,1759
8/1/2016,1860
9/1/2016,1588
10/1/2016,1664
11/1/2016,1751
12/1/2016,1708
1/1/2017,1745
2/1/2017,1711
3/1/2017,1762
4/1/2017,1710
5/1/2017,1794
6/1/2017,1970
7/1/2017,1910
8/1/2017,1868
9/1/2017,1787
10/1/2017,1837
11/1/2017,1747
12/1/2017,1732
1/1/2018,1932
2/1/2018,1771
3/1/2018,1795
4/1/2018,1727
5/1/2018,1775
6/1/2018,1822
7/1/2018,1806
8/1/2018,1803
9/1/2018,1764
10/1/2018,1813
11/1/2018,1938
12/1/2018,1839
1/1/2019,1708
2/1/2019,1777
3/1/2019,1692
4/1/2019,1962
5/1/2019,1773
6/1/2019,1770
7/1/2019,1831
8/1/2019,1800
9/1/2019,1951
10/1/2019,1810
11/1/2019,1784
12/1/2019,1939
1/1/2020,1800
2/1/2020,1968
3/1/2020,13036
4/1/2020,9203
5/1/2020,2177
6/1/2020,2269
7/1/2020,1848
8/1/2020,1593
9/1/2020,1578
10/1/2020,1711
11/1/2020,2138
12/1/2020,1912
1/1/2021,1578
2/1/2021,1629
3/1/2021,1514
4/1/2021,1422
5/1/2021,1345
6/1/2021,1329
7/1/2021,1418
8/1/2021,1338
9/1/2021,1408
10/1/2021,1343
11/1/2021,1345
12/1/2021,1398
1/1/2022,1425
2/1/2022,1423
3/1/2022,1395
4/1/2022,1342
5/1/2022,1482
6/1/2022,1477
7/1/2022,1497
8/1/2022,1627
9/1/2022,1436
10/1/2022,1525
11/1/2022,1485
12/1/2022,1475
1/1/2023,1719
2/1/2023,1504
