DATE,UNEM
1/1/1970,4.1578783
4/1/1970,4.769320813
7/1/1970,5.329443432
10/1/1970,5.897089562
1/1/1971,5.979122568
4/1/1971,5.98594954
7/1/1971,6.141881154
10/1/1971,6.046903508
1/1/1972,5.85186314
4/1/1972,5.753958327
7/1/1972,5.706419157
10/1/1972,5.370097951
1/1/1973,5.027816121
4/1/1973,4.995455113
7/1/1973,4.914636461
10/1/1973,4.83326062
1/1/1974,5.141326131
4/1/1974,5.254936826
7/1/1974,5.726492789
10/1/1974,6.678099281
1/1/1975,8.38192293
4/1/1975,8.917046359
7/1/1975,8.587651717
10/1/1975,8.385218293
1/1/1976,7.850586723
4/1/1976,7.599603055
7/1/1976,7.799676113
10/1/1976,7.874421592
1/1/1977,7.612859095
4/1/1977,7.160472214
7/1/1977,6.971555337
10/1/1977,6.700250033
1/1/1978,6.386893597
4/1/1978,6.029078441
7/1/1978,6.099640943
10/1/1978,5.976411627
1/1/1979,5.919556974
4/1/1979,5.77947199
7/1/1979,5.960887209
10/1/1979,6.055596205
1/1/1980,6.373132502
4/1/1980,7.413954546
7/1/1980,7.799178616
10/1/1980,7.584553474
1/1/1981,7.519959077
4/1/1981,7.513820894
7/1/1981,7.55492401
10/1/1981,8.448046507
1/1/1982,8.978475436
4/1/1982,9.627728161
7/1/1982,10.10463787
10/1/1982,10.91793917
1/1/1983,10.56472851
4/1/1983,10.30627998
7/1/1983,9.481590356
10/1/1983,8.736838132
1/1/1984,7.980372747
4/1/1984,7.615116873
7/1/1984,7.548494496
10/1/1984,7.412473208
1/1/1985,7.379741473
4/1/1985,7.395965472
7/1/1985,7.301025612
10/1/1985,7.17926598
1/1/1986,7.114134609
4/1/1986,7.294162514
7/1/1986,7.078512041
10/1/1986,6.953291689
1/1/1987,6.725526956
4/1/1987,6.397612736
7/1/1987,6.096230823
10/1/1987,5.957177173
1/1/1988,5.804451654
4/1/1988,5.575115148
7/1/1988,5.562682136
10/1/1988,5.426589918
1/1/1989,5.27593124
4/1/1989,5.32565441
7/1/1989,5.344949307
10/1/1989,5.441063074
1/1/1990,5.39673018
4/1/1990,5.448751208
7/1/1990,5.747258914
10/1/1990,6.186586108
1/1/1991,6.703887382
4/1/1991,6.942766052
7/1/1991,6.924430397
10/1/1991,7.215950276
1/1/1992,7.514706334
4/1/1992,7.674906187
7/1/1992,7.717812635
10/1/1992,7.560086887
1/1/1993,7.250727861
4/1/1993,7.187187693
7/1/1993,6.906031255
10/1/1993,6.763015019
1/1/1994,6.645278833
4/1/1994,6.257083417
7/1/1994,6.061374831
10/1/1994,5.669389837
1/1/1995,5.520815228
4/1/1995,5.745729558
7/1/1995,5.717677118
10/1/1995,5.62688827
1/1/1996,5.611806255
4/1/1996,5.53733752
7/1/1996,5.330973923
10/1/1996,5.351783386
1/1/1997,5.298651809
4/1/1997,5.043233501
7/1/1997,4.911247838
10/1/1997,4.70613132
1/1/1998,4.722587744
4/1/1998,4.472421743
7/1/1998,4.574745833
10/1/1998,4.425280104
1/1/1999,4.339207719
4/1/1999,4.291032018
7/1/1999,4.273800656
10/1/1999,4.104343099
1/1/2000,4.087481674
4/1/2000,3.984688305
7/1/2000,4.058566496
10/1/2000,3.949443984
1/1/2001,4.292300972
4/1/2001,4.490592842
7/1/2001,4.866265916
10/1/2001,5.59466714
1/1/2002,5.804940446
4/1/2002,5.91564624
7/1/2002,5.776667724
10/1/2002,5.937880604
1/1/2003,5.956258361
4/1/2003,6.228435149
7/1/2003,6.151128876
10/1/2003,5.93552012
1/1/2004,5.774569387
4/1/2004,5.652972305
7/1/2004,5.484659156
10/1/2004,5.483737522
1/1/2005,5.337091272
4/1/2005,5.177519649
7/1/2005,5.031529789
10/1/2005,5.023426313
1/1/2006,4.792769217
4/1/2006,4.746531981
7/1/2006,4.705782552
10/1/2006,4.514562572
1/1/2007,4.575701566
4/1/2007,4.564873007
7/1/2007,4.721403585
10/1/2007,4.86378761
1/1/2008,5.013792742
4/1/2008,5.413222283
7/1/2008,6.105931358
10/1/2008,6.992421218
1/1/2009,8.403745379
4/1/2009,9.399382491
7/1/2009,9.744370199
10/1/2009,10.10711092
1/1/2010,9.960392988
4/1/2010,9.834938236
7/1/2010,9.606144715
10/1/2010,9.715314373
1/1/2011,9.161481259
4/1/2011,9.217492376
7/1/2011,9.122730015
10/1/2011,8.816133795
1/1/2012,8.345027976
4/1/2012,8.279051478
7/1/2012,8.114782459
10/1/2012,7.982602069
1/1/2013,7.780454597
4/1/2013,7.678168285
7/1/2013,7.413875321
10/1/2013,7.124210463
1/1/2014,6.7242895
4/1/2014,6.301137233
7/1/2014,6.171392344
10/1/2014,5.83330738
1/1/2015,5.599971755
4/1/2015,5.514632026
7/1/2015,5.200106151
10/1/2015,5.172029323
1/1/2016,4.992899821
4/1/2016,4.976249004
7/1/2016,4.965656697
10/1/2016,4.845617044
1/1/2017,4.634578438
4/1/2017,4.395143594
7/1/2017,4.397003531
10/1/2017,4.195626054
1/1/2018,4.119958478
4/1/2018,3.955829135
7/1/2018,3.814546195
10/1/2018,3.858913018
1/1/2019,3.903445894
4/1/2019,3.640320592
7/1/2019,3.691852512
10/1/2019,3.624066401
1/1/2020,3.909218029
4/1/2020,13.23033827
7/1/2020,8.749930721
10/1/2020,7.031916465
1/1/2021,6.211185003
4/1/2021,5.937954446
7/1/2021,5.130067448
10/1/2021,4.297647024
1/1/2022,3.91393637
4/1/2022,3.628853542
7/1/2022,3.602464191
10/1/2022,3.636928422
